15.02.2016, 11:17:33, INFO , run(4572478)
15.02.2016, 11:17:48, INFO , run(4572478)
15.02.2016, 11:17:48, INFO , run addUser(thesa,r,r,nomail)
15.02.2016, 11:17:48, INFO , INSERT INTO emtipp2016_users (    `userid`,  `username`,  `password`,  `lastname`,  `firstname`,  `email`, `finalparticipantscore`) VALUES ('c9780b75184af1db166794c6b025df48', 'thesa', '52w6r6', 'r', 'r', 'nomail', b'0')
15.02.2016, 11:17:48, INFO ,  Empfaenger=nomail Sender=WERKEs Tippspiel Mailbetreff=WERKEs Tippspiel Login-Info.

15.02.2016, 11:17:49, INFO , Sent email with initial password for r r (Benutzername:thesa) to 'nomail'
15.02.2016, 11:17:49, INFO ,  Empfaenger=andreas.grotemeyer@gmail.com Sender=WERKEs Tippspiel Mailbetreff=Tippspiel: User angelegt : thesa.

15.02.2016, 11:20:49, INFO , Anzahl User=3
15.02.2016, 11:20:49, INFO , Anzahl User=3
15.02.2016, 11:20:49, WARN , keine passenden Datensätze gefunden
15.02.2016, 11:20:49, WARN , keine passenden Datensätze gefunden
15.02.2016, 11:20:59, INFO , ask(remove 'test' by '4572478')
15.02.2016, 11:21:02, INFO , run resetUserPassword('test' by '4572478')
15.02.2016, 11:21:02, INFO , SELECT email FROM emtipp2016_users WHERE username = 'test'
15.02.2016, 11:21:02, INFO , UPDATE emtipp2016_users SET password = 'd5a85087' WHERE username = 'test'
15.02.2016, 11:21:06, INFO , Anzahl User=3
15.02.2016, 11:21:06, INFO , Anzahl User=3
15.02.2016, 11:21:06, WARN , keine passenden Datensätze gefunden
15.02.2016, 11:21:06, WARN , keine passenden Datensätze gefunden
15.02.2016, 11:21:30, INFO , ask(remove 'test' by '4572478')
15.02.2016, 11:21:35, INFO , run removeUser('test' by '4572478')
15.02.2016, 11:21:35, INFO , SELECT COUNT(*) as tippcount FROM emtipp2016_groupranktipps WHERE user='test'
15.02.2016, 11:21:35, INFO , SELECT COUNT(*) as tippcount FROM emtipp2016_groupmatchtipps WHERE user='test'
15.02.2016, 11:21:35, INFO , SELECT COUNT(*) as tippcount FROM emtipp2016_finalmatchtipps WHERE user='test'
15.02.2016, 11:21:35, INFO , SELECT COUNT(*) as tippcount FROM emtipp2016_championtipps WHERE user='test'
15.02.2016, 11:21:35, INFO , SELECT COUNT(*) as tippcount FROM emtipp2016_topscorertipps WHERE user='test'
15.02.2016, 11:21:35, INFO , Overall tippcount=0 (user=test)
15.02.2016, 11:21:35, INFO , DELETE FROM emtipp2016_users WHERE username = 'test'
15.02.2016, 11:21:37, INFO , Anzahl User=2
15.02.2016, 11:21:37, INFO , Anzahl User=2
15.02.2016, 11:21:37, WARN , keine passenden Datensätze gefunden
15.02.2016, 11:21:37, WARN , keine passenden Datensätze gefunden
15.02.2016, 11:28:15, INFO , Anzahl User=2
15.02.2016, 11:28:15, INFO , Anzahl User=2
15.02.2016, 11:28:15, WARN , keine passenden Datensätze gefunden
15.02.2016, 11:28:15, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:40:33, INFO , Anzahl User=2
15.02.2016, 18:40:33, INFO , Anzahl User=2
15.02.2016, 18:40:34, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:40:34, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:43:58, INFO , Anzahl User=2
15.02.2016, 18:43:58, INFO , Anzahl User=2
15.02.2016, 18:43:58, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:43:58, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:44:54, INFO , Anzahl User=2
15.02.2016, 18:44:54, INFO , Anzahl User=2
15.02.2016, 18:44:54, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:44:54, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:48:46, INFO , run(4572478)
15.02.2016, 18:49:08, INFO , run(4572478)
15.02.2016, 18:49:08, INFO , run addUser(ert,wsx,rfv,)
15.02.2016, 18:49:08, INFO , INSERT INTO emtipp2016_users (    `userid`,  `username`,  `password`,  `lastname`,  `firstname`,  `email`, `finalparticipantscore`) VALUES ('b8514e587af088090d2c864ea938973b', 'ert', 'pus2ce', 'rfv', 'wsx', '', b'0')
15.02.2016, 18:49:08, INFO ,  Empfaenger= Sender=WERKEs Tippspiel Mailbetreff=WERKEs Tippspiel Login-Info.

15.02.2016, 18:49:09, INFO , Sent email with initial password for wsx rfv (Benutzername:ert) to ''
15.02.2016, 18:49:09, INFO ,  Empfaenger=andreas.grotemeyer@gmail.com Sender=WERKEs Tippspiel Mailbetreff=Tippspiel: User angelegt : ert.

15.02.2016, 18:49:23, INFO , Anzahl User=3
15.02.2016, 18:49:23, INFO , Anzahl User=3
15.02.2016, 18:49:23, WARN , keine passenden Datensätze gefunden
15.02.2016, 18:49:23, WARN , keine passenden Datensätze gefunden
29.04.2016, 18:16:23, INFO , Anzahl User=2
29.04.2016, 18:16:23, INFO , Anzahl User=2
29.04.2016, 18:16:23, INFO , Anzahl noch auszuwertende Gruppenspiele=36
29.04.2016, 18:16:23, INFO , Anzahl noch auszuwertende Finalspiele=15
29.04.2016, 18:17:02, INFO , run(4572478)
29.04.2016, 18:22:40, INFO , run(4572478)
29.04.2016, 18:22:50, INFO , run(4572478)
29.04.2016, 18:23:02, INFO , run(4572478)
29.04.2016, 18:23:27, INFO , run(4572478)
29.04.2016, 18:23:27, INFO , run addUser(Robert Kalusok,Robert,Kalusok,robert.werkestippspiel@gmail.com)
29.04.2016, 18:23:27, INFO , INSERT INTO emtipp2016_users (    `userid`,  `username`,  `password`,  `lastname`,  `firstname`,  `email`, `finalparticipantscore`) VALUES ('a24bea0bc5a2ae100694003792d31541', 'Robert Kalusok', 'b6zgm6', 'Kalusok', 'Robert', 'robert.werkestippspiel@gmail.com', b'0')
29.04.2016, 18:23:27, INFO , Sent email with initial password for Robert Kalusok (Benutzername:Robert Kalusok) to 'robert.werkestippspiel@gmail.com'
29.04.2016, 18:23:31, INFO , Anzahl User=3
29.04.2016, 18:23:31, INFO , Anzahl User=3
29.04.2016, 18:23:31, INFO , Anzahl noch auszuwertende Gruppenspiele=36
29.04.2016, 18:23:31, INFO , Anzahl noch auszuwertende Finalspiele=15
29.04.2016, 18:26:46, INFO , Anzahl User=3
29.04.2016, 18:26:46, INFO , Anzahl User=3
29.04.2016, 18:26:46, INFO , Anzahl noch auszuwertende Gruppenspiele=36
29.04.2016, 18:26:46, INFO , Anzahl noch auszuwertende Finalspiele=15
29.04.2016, 18:26:52, INFO , Anzahl User=3
29.04.2016, 18:26:52, INFO , Anzahl User=3
29.04.2016, 18:26:52, INFO , Anzahl noch auszuwertende Gruppenspiele=36
29.04.2016, 18:26:52, INFO , Anzahl noch auszuwertende Finalspiele=15
29.04.2016, 18:26:55, INFO , Anzahl User=3
